Dato;Parameter;AverageValue;Layer
2012-01-05;Temperatur;4.08;Surface
2012-01-26;Oxygen indhold;11.6;Bottom
2012-01-26;Oxygen indhold;11.6;Surface
2012-01-26;Oxygenmætning;98.0;Bottom
2012-01-26;Oxygenmætning;98.0;Surface
2012-01-26;Salinitet;24.252;Bottom
2012-01-26;Salinitet;24.2525;Surface
2012-01-26;Temperatur;1.45;Bottom
2012-01-26;Temperatur;1.4475;Surface
2012-02-29;Oxygen indhold;11.712499999999999;Bottom
2012-02-29;Oxygen indhold;11.639999999999999;Surface
2012-02-29;Oxygenmætning;104.0;Bottom
2012-02-29;Oxygenmætning;103.0;Surface
2012-02-29;Salinitet;25.8275;Bottom
2012-02-29;Salinitet;25.518;Surface
2012-02-29;Temperatur;2.99375;Bottom
2012-02-29;Temperatur;3.052;Surface
2012-03-05;Oxygen indhold;11.583333333333334;Bottom
2012-03-05;Oxygen indhold;11.633333333333333;Surface
2012-03-05;Oxygenmætning;102.83333333333333;Bottom
2012-03-05;Oxygenmætning;103.33333333333333;Surface
2012-03-05;Salinitet;24.05666666666667;Bottom
2012-03-05;Salinitet;23.816666666666666;Surface
2012-03-05;Temperatur;3.606666666666667;Bottom
2012-03-05;Temperatur;3.66;Surface
2012-03-13;Oxygen indhold;11.1;Bottom
2012-03-13;Oxygen indhold;10.95;Surface
2012-03-13;Oxygenmætning;103.0;Bottom
2012-03-13;Oxygenmætning;101.25;Surface
2012-03-13;Salinitet;25.649999999999995;Bottom
2012-03-13;Salinitet;25.64;Surface
2012-03-13;Temperatur;4.863333333333333;Bottom
2012-03-13;Temperatur;4.875;Surface
2012-03-22;Oxygen indhold;10.5;Bottom
2012-03-22;Oxygen indhold;10.559999999999999;Surface
2012-03-22;Oxygenmætning;99.42857142857143;Bottom
2012-03-22;Oxygenmætning;99.8;Surface
2012-03-22;Salinitet;25.780857142857144;Bottom
2012-03-22;Salinitet;25.1894;Surface
2012-03-22;Temperatur;5.776000000000001;Bottom
2012-03-22;Temperatur;6.0216;Surface
2012-04-16;Oxygen indhold;10.3875;Bottom
2012-04-16;Oxygen indhold;10.5;Surface
2012-04-16;Oxygenmætning;100.875;Bottom
2012-04-16;Oxygenmætning;102.0;Surface
2012-04-16;Salinitet;26.115;Bottom
2012-04-16;Salinitet;25.927500000000002;Surface
2012-04-16;Temperatur;6.61875;Bottom
2012-04-16;Temperatur;6.64;Surface
2012-05-07;Oxygen indhold;9.785714285714286;Bottom
2012-05-07;Oxygen indhold;10.375;Surface
2012-05-07;Oxygenmætning;100.42857142857143;Bottom
